adult,backdrop_path,id,name,original_name,overview,poster_path,media_type,original_language,genre_ids,popularity,first_air_date,softcore,vote_average,vote_count,origin_country,title,original_title,release_date,video
False,/rvMmQj3nMZbJmoW6QrzU0nq9Xky.jpg,277439,Cape Fear,Cape Fear,"When convicted murderer Max Cady is released from prison, he begins infiltrating the family of the married attorneys who helped put him behind bars.",/3ZLy3cfQa9prahoRq1teMmr5pvW.jpg,tv,en,"[18, 80]",47.8825,2026-06-04,False,6.9,51,['US'],,,,True
False,/sS3zGYFPcfM5pArVNWl6qLyaSmU.jpg,980431,,,"Avatar Aang, the world's last Airbender, learns of an ancient power that could save his culture from extinction. With the help of his friends, he embarks on a global quest to find it before it falls into the wrong hands and threatens to upend the peace they sacrificed everything to achieve.",/29Jdsak3SrwGds5k1t43kH6Khed.jpg,movie,en,"[28, 12, 16, 14]",122.6171,,False,0.0,0,,Avatar Aang: The Last Airbender,Avatar Aang: The Last Airbender,2026-10-09,False
False,/lh3BDkmWJh998n4fQcHYcVi7dpm.jpg,1284465,,,"Grappling with his past after a life of crime and murder, Robin Hood finds himself gravely injured after a battle he thought would be his last. In the hands of a mysterious woman, he is offered a chance at salvation.",/4cD7KeABHyzeJmzdA6QKe36fp2d.jpg,movie,en,"[12, 18, 53, 28]",32.0414,,False,6.8,34,,The Death of Robin Hood,The Death of Robin Hood,2026-06-18,False
False,/kxQiIJ4gVcD3K6o14MJ72p5yRcE.jpg,1226863,,,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",/eJGWx219ZcEMVQJhAgMiqo8tYY.jpg,movie,en,"[10751, 35, 12, 14, 16]",189.8918,,False,8.235,2869,,The Super Mario Galaxy Movie,The Super Mario Galaxy Movie,2026-04-01,False
False,/5dE3rixgMUTXOQLuO3zya4zSFav.jpg,1329471,,,"A young woman, desperate to leave her small town, runs away with a charming con man, embarking on a crime and passion-filled journey through the Southeast to find her estranged mother.",/9waKPyT5JWv9EWTf79j25yT6Bu4.jpg,movie,en,"[80, 18, 10749]",24.508,,False,7.2,13,,Carolina Caroline,Carolina Caroline,2026-06-05,False
False,/m0TiLZ79RR19Zz0AZruQSBeH39x.jpg,90521,Love Island USA,Love Island USA,"The matchmaking begins as a group of single ""Islanders"" come together in a stunning villa on a beautiful tropical island, ready to embark on a summer of dating, romance, and ultimately, relationships. Every few days the Islanders pair up and those who are not coupled are at risk of being dumped from the island. Islanders are on the lookout for romance, but the road to love doesn't always run smoothly.",/kU2y21cls8WargMaX7KI47URMjD.jpg,tv,en,[10764],47.6212,2019-07-09,False,7.0,175,['US'],,,,True
False,/dzmpvGoJQ6yBShrpx0c7BdhwEic.jpg,291947,Inseparable,Inseparável,"Rain-soaked night murder attempt unravels when father-daughter detectives Lao He and He Ying, grappling with impending retirement and fractured familial bonds, confront a case entangled with their past as suspects lead to the shadowy secrets of the Han Dong couple they once knew.",/y1RLAgnNjyJoXwhCFS7UsA2k5Cz.jpg,tv,zh,[9648],39.8073,2026-06-24,False,8.0,1,['CN'],,,,True
False,/1TD4RxJsHkFbkJtWgoVRzQf9STd.jpg,203744,Sugar,Sugar,"John Sugar is a dashing private eye navigating the dark corners of sunny LA. Though he sees only the good in humanity, Sugar is haunted by a secret too dangerous to expose.",/tLmwLYiI7EpPbhgmdeivNGY0xw7.jpg,tv,en,"[18, 9648]",41.5306,2024-04-04,False,7.2,313,['US'],,,,True
False,/ekFr4AyEpwyIHK1R3VOYDXN2PqL.jpg,1564614,,,Two teenage boys must escape a violent entity that takes the form of the person they desire most — each other.,/cu0XnXLzJGPeI0msCoJKgnEecKz.jpg,movie,en,"[27, 10749]",34.1344,,False,7.3,22,,Leviticus,Leviticus,2026-06-17,False
False,/n4VljCX22hbw3RwfxaY8FX8eLzN.jpg,245842,Wistoria: Wand and Sword,杖と剣のウィストリア,"In a world where magic reigns, Will Serfort can’t cast a spell. Though hardworking, Will’s classmates think less of him for it. However, he has a secret strength: his sword. Can Will defy expectations with muscle over magic and blade over wand? Find out in this epic sword-and-sorcery adventure!",/5n0IZQA9MiXn5JBKZibtNhhFSAZ.jpg,tv,ja,"[16, 10759, 10765]",58.9212,2024-07-07,False,8.0,129,['JP'],,,,True
